,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
548,0.0836,"['canadian hip hop', 'trap music', 'trap soul']","['Preme', 'Drake', 'Future']",0.7070000000000001,205.387,0.599,0.0,0,0.31,-7.053,0,DnF,0.6,2014,0.305,76.881,spotify:track:5EMKS6mLi4JprJxy8IGdhT,0.55,Hip-Hop
549,0.431,"['big beat', 'electronic', 'hip hop', 'ninja', 'trip hop', 'turntablism', 'uk hip hop']",['Roots Manuva'],0.467,226.413,0.623,0.00086,0,0.134,-7.92,1,Fighting For?,0.32,2015,0.399,170.674,spotify:track:3E9iBozKyc4dXyu5QSpxQo,0.159,Hip-Hop
550,0.000235,['dwn trap'],['iLoveMemphis'],0.741,181.081,0.488,0.0,8,0.0488,-8.253,1,Hit the Quan - Original Version,0.58,2015,0.362,160.018,spotify:track:4OjuzM3rTWp3q60mEldNSF,0.625,Crunk
551,0.000201,"['alternative metal', 'garage rock', 'grunge', 'hard rock', 'rap rock', 'rock', 'stoner metal', 'stoner rock']",['Monster Magnet'],0.637,355.973,0.736,0.748,10,0.125,-7.074,1,Space Lord,0.01,1998,0.0347,95.823,spotify:track:3CQT1WcWe86brcWVMhgEYa,0.364,Stoner Rock
552,0.0235,"['album rock', 'alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",['Alice In Chains'],0.159,149.467,0.946,8.06e-06,9,0.387,-5.756,1,Them Bones,0.63,1992,0.0629,164.997,spotify:track:4A065x9kJt955eGVqf813g,0.309,Grunge
553,0.119,[],['MarQuis Trill'],0.915,178.678,0.516,2.28e-05,1,0.104,-9.328,0,Hit the Dab,0.33,2015,0.228,129.13,spotify:track:19Ck4J1FNcKUzAc7eD1PAS,0.229,not available
554,0.0565,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Drake', 'Future']",0.853,205.879,0.547,0.0,1,0.341,-7.535,1,Jumpman,0.76,2015,0.194,142.065,spotify:track:27GmP9AWRs744SzKcpJsTZ,0.6759999999999999,Hip-Hop
555,0.322,"['pop', 'pop rap', 'rap']","['J. Cole', 'Miguel']",0.667,241.16,0.61,0.000203,1,0.426,-7.0539999999999985,1,Power Trip,0.75,2013,0.217,99.991,spotify:track:7FOJvA3PxiIU0DN3JjQ7jT,0.465,Hip-Hop
556,0.0334,"['pop', 'pop rap', 'rap']",['J. Cole'],0.7090000000000001,217.24,0.687,1.7e-06,10,0.103,-7.394,0,Niggaz Know,0.59,2013,0.174,138.046,spotify:track:7ncDwhSTgCZuL3OZNkvZ97,0.327,Hip-Hop
557,0.0974,"['pop', 'pop rap', 'rap']","['J. Cole', 'Missy Elliott']",0.7929999999999999,190.653,0.498,1.26e-05,8,0.13,-11.208,0,Nobody's Perfect,0.67,2011,0.17,119.988,spotify:track:07NI6CCv57IbIqzy10ddd7,0.4270000000000001,Hip-Hop
558,0.0186,['indie pop rap'],"['G-Eazy', 'Bebe Rexha']",0.757,251.467,0.672,0.0,0,0.158,-6.524,0,"Me, Myself & I",0.8,2015,0.0955,111.996,spotify:track:40YcuQysJ0KlGQTeGUosTC,0.382,Hip-Hop
559,0.0331,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop', 'tropical house']",['Mike Posner'],0.6779999999999999,198.76,0.7829999999999999,1.51e-05,7,0.134,-4.672,0,I Took A Pill In Ibiza - Seeb Remix,0.14,2015,0.0828,102.0,spotify:track:7HzCxalzzYQOFb9a7Xs3j6,0.679,rnb
560,0.00772,['deep tropical house'],"['Lincoln Jesser', 'yuna']",0.6559999999999999,214.25,0.7070000000000001,9.07e-06,6,0.109,-7.739,0,Baby Boy,0.21,2016,0.0463,128.02200000000002,spotify:track:5Z9Z0nHV6HqyG1i7lqr1CV,0.37,dance
561,0.189,['pop'],['Sam Smith'],0.6779999999999999,192.67,0.847,0.000322,2,0.231,-5.226,1,Money On My Mind,0.62,2014,0.16899999999999998,133.696,spotify:track:2FFOQpNyN4us5DaVaf6Qcc,0.733,soul
562,0.0698,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",['Future'],0.8740000000000001,237.4,0.568,1.3800000000000003e-05,11,0.149,-5.896,0,F*ck Up Some Commas,0.74,2015,0.224,139.995,spotify:track:49zD0wr2S3d0lZPib0K4e1,0.46,Hip-Hop
