,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
259,0.0907,"['pop', 'pop rap', 'rap']",['Kanye West'],0.516,299.6,0.794,2.93e-05,1,0.231,-3.236,1,All Of The Lights - Album Version (Edited),0.46,2010,0.0619,141.839,spotify:track:7zbDSQelDmlaEhUDnLMViZ,0.228,Hip-Hop
260,0.0693,"['hip hop', 'pop rap', 'rap', 'southern hip hop']","['Kid Cudi', 'Kanye West']",0.682,192.253,0.642,0.0,9,0.116,-5.643,1,Erase Me - Main,0.68,2010,0.152,186.037,spotify:track:6XkuklKiHYVTlVvWlTgQYP,0.857,Hip-Hop
261,0.235,"['pop', 'pop rap', 'rap']","['Kanye West', 'Jeezy']",0.586,238.333,0.563,0.0549,8,0.0654,-8.283999999999999,1,Amazing,0.04,2008,0.0644,146.101,spotify:track:7tsgm8M8uO6W1HmBAmHFGv,0.544,Hip-Hop
262,0.00379,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.696,210.267,0.546,3.8e-06,5,0.332,-6.55,1,I Wanna Go,0.63,2011,0.0414,130.002,spotify:track:5cCAZS9VhLGEDV4NCfieeg,0.787,pop
263,0.0485,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.696,225.08,0.7340000000000001,0.0,7,0.183,-5.294,1,Criminal,0.62,2011,0.0298,107.987,spotify:track:6T689Jvh5KrSXyaPtUWZtQ,0.711,pop
264,0.0228,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.693,237.947,0.705,0.0,8,0.202,-5.747000000000001,1,Till the World Ends,0.64,2011,0.0665,131.951,spotify:track:38iU2jg98IZZEIJPrP7aWD,0.45,pop
265,0.0103,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.648,228.827,0.722,0.0,0,0.24,-4.813,0,Hold It Against Me,0.0,2011,0.0427,132.97299999999998,spotify:track:5MtbCiKeHd86jvJm5B0P4q,0.389,pop
266,0.0753,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.818,216.547,0.71,0.0239,10,0.0581,-5.716,1,How I Roll,0.44,2011,0.0472,145.97,spotify:track:38casNXY2G39SZRUjALtcY,0.7909999999999999,pop
267,0.085,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.856,222.293,0.743,0.0,4,0.0739,-4.71,0,Up N' Down,0.45,2011,0.054000000000000006,120.006,spotify:track:30pIRfkIrvI88LaXReJ6HJ,0.833,pop
268,0.17800000000000002,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.757,188.427,0.733,4.47e-06,7,0.101,-4.722,1,Gasoline,0.45,2011,0.0511,119.984,spotify:track:5AcTuYSmbmcZA8kiLE4bAR,0.552,pop
269,0.175,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.644,206.32,0.7340000000000001,0.0,2,0.0484,-5.234,0,Seal It with a Kiss,0.43,2011,0.0554,124.988,spotify:track:1gilYs9AY8a75q275GTkiY,0.56,pop
270,0.00613,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.731,199.947,0.674,0.0,0,0.369,-5.599,0,Trouble for Me,0.44,2011,0.0452,125.938,spotify:track:6fbb7VBPUjqicVq9XG7s3i,0.305,pop
271,0.0114,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.722,223.947,0.622,1.64e-06,11,0.0664,-5.426,0,Selfish,0.43,2011,0.0321,122.038,spotify:track:2w3PyJC61SAVM7KR6tyDwF,0.787,pop
272,0.147,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7909999999999999,192.36,0.733,0.000381,6,0.0713,-5.215,0,Circus,0.7,2009,0.052000000000000005,114.98,spotify:track:7jk7gqyEonmVVYahZN5zhW,0.7609999999999999,pop
